Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,macro avg_f1,weighted avg_f1,angry_f1,angry_precision,angry_recall,angry_support,calm_f1,calm_precision,calm_recall,calm_support,disgust_f1,disgust_precision,disgust_recall,disgust_support,fear_f1,fear_precision,fear_recall,fear_support,happy_f1,happy_precision,happy_recall,happy_support,neutral_f1,neutral_precision,neutral_recall,neutral_support,sad_f1,sad_precision,sad_recall,sad_support,surprise_f1,surprise_precision,surprise_recall,surprise_support
1,30.28,39.56,1.8948,1.8552,0.3728,39.56,0.3808,0.3728,0.4942,0.4508,0.5469,2695.0,0.3031,0.1804,0.9474,266.0,0.1717,0.8624,0.0954,2695.0,0.3893,0.4348,0.3525,2695.0,0.2708,0.364,0.2156,2695.0,0.4286,0.4074,0.4521,2380.0,0.4342,0.3557,0.5573,2695.0,0.5543,0.4546,0.7099,910.0
2,42.09,44.03,1.7899,1.8032,0.4263,44.03,0.4242,0.4263,0.5786,0.5381,0.6256,2695.0,0.3018,0.1781,0.9887,266.0,0.2872,0.6442,0.1848,2695.0,0.3885,0.5021,0.3169,2695.0,0.3183,0.3872,0.2701,2695.0,0.4789,0.4266,0.5458,2380.0,0.479,0.4305,0.5399,2695.0,0.5611,0.4361,0.7868,910.0
3,45.71,46.32,1.7526,1.7804,0.4429,46.32,0.445,0.4429,0.6082,0.5326,0.7087,2695.0,0.3463,0.2108,0.9699,266.0,0.324,0.5629,0.2275,2695.0,0.3662,0.5717,0.2694,2695.0,0.3146,0.422,0.2508,2695.0,0.5192,0.4665,0.5853,2380.0,0.4958,0.4292,0.587,2695.0,0.5853,0.4603,0.8033,910.0
4,47.8,47.21,1.7326,1.7679,0.458,47.21,0.4544,0.458,0.6338,0.5956,0.6772,2695.0,0.3549,0.2166,0.9812,266.0,0.3307,0.5694,0.233,2695.0,0.3932,0.5073,0.321,2695.0,0.342,0.4076,0.2946,2695.0,0.5336,0.4502,0.655,2380.0,0.5051,0.5067,0.5035,2695.0,0.542,0.4032,0.8264,910.0
5,49.27,48.1,1.7173,1.7558,0.4612,48.1,0.4609,0.4612,0.6311,0.5454,0.7488,2695.0,0.3798,0.2366,0.9624,266.0,0.3518,0.5566,0.2571,2695.0,0.3905,0.5146,0.3147,2695.0,0.3096,0.4357,0.2401,2695.0,0.5439,0.5062,0.5878,2380.0,0.5263,0.4794,0.5833,2695.0,0.5544,0.4152,0.8341,910.0
6,59.09,58.58,1.624,1.6571,0.5875,58.58,0.5705,0.5875,0.7298,0.726,0.7336,2695.0,0.3834,0.2387,0.9737,266.0,0.5202,0.5629,0.4835,2695.0,0.549,0.5933,0.5109,2695.0,0.4832,0.5304,0.4438,2695.0,0.6457,0.649,0.6424,2380.0,0.6031,0.5971,0.6093,2695.0,0.6498,0.5661,0.7626,910.0
7,71.05,60.77,1.5234,1.637,0.6061,60.77,0.6007,0.6061,0.7299,0.6775,0.7911,2695.0,0.4518,0.2989,0.9248,266.0,0.5393,0.644,0.4638,2695.0,0.5517,0.5265,0.5796,2695.0,0.5547,0.6333,0.4935,2695.0,0.6422,0.6836,0.6055,2380.0,0.5917,0.5771,0.6071,2695.0,0.7446,0.6775,0.8264,910.0
8,77.75,61.78,1.465,1.6259,0.6188,61.78,0.6117,0.6188,0.7373,0.7623,0.7139,2695.0,0.459,0.3029,0.9474,266.0,0.5505,0.5807,0.5232,2695.0,0.5416,0.5895,0.5009,2695.0,0.5938,0.6264,0.5644,2695.0,0.6567,0.6754,0.6391,2380.0,0.6111,0.5668,0.6631,2695.0,0.7434,0.6726,0.8308,910.0
9,81.21,61.89,1.4359,1.627,0.614,61.89,0.6081,0.614,0.7413,0.7059,0.7803,2695.0,0.456,0.3026,0.9248,266.0,0.5505,0.5908,0.5154,2695.0,0.4937,0.7176,0.3763,2695.0,0.6068,0.6501,0.5688,2695.0,0.6579,0.627,0.692,2380.0,0.6088,0.5498,0.682,2695.0,0.7496,0.6722,0.8473,910.0
10,83.43,61.85,1.417,1.6272,0.6181,61.85,0.6152,0.6181,0.7418,0.7741,0.7121,2695.0,0.4754,0.3177,0.9436,266.0,0.5484,0.5458,0.551,2695.0,0.503,0.6561,0.4078,2695.0,0.6195,0.6198,0.6193,2695.0,0.6668,0.6951,0.6408,2380.0,0.5983,0.5351,0.6783,2695.0,0.7684,0.7131,0.833,910.0
11,85.17,62.16,1.4026,1.6258,0.6217,62.16,0.6189,0.6217,0.7432,0.7852,0.7054,2695.0,0.479,0.3261,0.9023,266.0,0.5429,0.6012,0.495,2695.0,0.5518,0.6071,0.5058,2695.0,0.6078,0.5844,0.633,2695.0,0.6571,0.6108,0.7109,2380.0,0.5935,0.5933,0.5937,2695.0,0.7756,0.7324,0.8242,910.0
12,86.38,62.64,1.3922,1.6225,0.6217,62.64,0.6214,0.6217,0.7307,0.6859,0.7818,2695.0,0.4975,0.3398,0.9286,266.0,0.5667,0.6334,0.5128,2695.0,0.505,0.6488,0.4134,2695.0,0.6099,0.6098,0.61,2695.0,0.67,0.6049,0.7508,2380.0,0.6125,0.6086,0.6163,2695.0,0.779,0.761,0.7978,910.0
13,87.47,63.34,1.3827,1.6133,0.634,63.34,0.629,0.634,0.752,0.7322,0.7729,2695.0,0.4725,0.3143,0.9511,266.0,0.5634,0.6174,0.518,2695.0,0.5552,0.5579,0.5525,2695.0,0.6101,0.6903,0.5466,2695.0,0.6844,0.6943,0.6748,2380.0,0.6104,0.5791,0.6453,2695.0,0.7839,0.7483,0.8231,910.0
14,88.16,63.2,1.3773,1.6184,0.6311,63.2,0.6212,0.6311,0.7476,0.7203,0.777,2695.0,0.4349,0.2869,0.8985,266.0,0.5642,0.5644,0.564,2695.0,0.5456,0.6624,0.4638,2695.0,0.6135,0.6773,0.5607,2695.0,0.6877,0.6421,0.7403,2380.0,0.6078,0.6089,0.6067,2695.0,0.768,0.7165,0.8275,910.0
15,88.97,63.82,1.3698,1.6161,0.6375,63.82,0.6343,0.6375,0.7546,0.7285,0.7826,2695.0,0.5006,0.3555,0.8459,266.0,0.5633,0.6151,0.5195,2695.0,0.5684,0.5632,0.5737,2695.0,0.6253,0.7221,0.5514,2695.0,0.6887,0.6448,0.7391,2380.0,0.5971,0.5885,0.6059,2695.0,0.7766,0.772,0.7813,910.0
16,89.54,63.4,1.3654,1.6216,0.6346,63.4,0.6332,0.6346,0.7299,0.7736,0.6909,2695.0,0.5057,0.38,0.7556,266.0,0.5796,0.5913,0.5685,2695.0,0.5463,0.5954,0.5046,2695.0,0.6267,0.5877,0.6712,2695.0,0.679,0.6958,0.663,2380.0,0.6131,0.5919,0.636,2695.0,0.785,0.7577,0.8143,910.0
17,90.16,63.01,1.36,1.6243,0.6288,63.01,0.6289,0.6288,0.7288,0.6998,0.7603,2695.0,0.5017,0.3559,0.8496,266.0,0.5643,0.6099,0.525,2695.0,0.5363,0.5943,0.4887,2695.0,0.6138,0.6154,0.6122,2695.0,0.6828,0.6619,0.705,2380.0,0.6102,0.5942,0.6271,2695.0,0.7935,0.8108,0.7769,910.0
18,90.6,63.04,1.3558,1.6231,0.6285,63.04,0.6283,0.6285,0.7364,0.7143,0.7599,2695.0,0.5256,0.404,0.7519,266.0,0.5619,0.5651,0.5588,2695.0,0.5486,0.5984,0.5065,2695.0,0.6194,0.6248,0.6141,2695.0,0.6863,0.6823,0.6903,2380.0,0.5922,0.6111,0.5744,2695.0,0.7558,0.6814,0.8484,910.0
19,91.0,62.11,1.3522,1.6325,0.6183,62.11,0.6152,0.6183,0.7182,0.6579,0.7907,2695.0,0.4981,0.3724,0.7519,266.0,0.5696,0.6225,0.525,2695.0,0.5476,0.5784,0.5199,2695.0,0.5958,0.6021,0.5896,2695.0,0.6647,0.6639,0.6655,2380.0,0.5907,0.6261,0.5592,2695.0,0.737,0.6658,0.8253,910.0
20,91.31,62.56,1.3505,1.6337,0.6248,62.56,0.6263,0.6248,0.7323,0.7041,0.7629,2695.0,0.5108,0.3975,0.7143,266.0,0.5607,0.5926,0.5321,2695.0,0.5511,0.5912,0.5161,2695.0,0.588,0.5868,0.5892,2695.0,0.6792,0.6548,0.7055,2380.0,0.5994,0.5875,0.6119,2695.0,0.7891,0.8531,0.7341,910.0
21,91.7,62.87,1.3466,1.626,0.6276,62.87,0.6272,0.6276,0.7449,0.7466,0.7432,2695.0,0.5024,0.366,0.8008,266.0,0.5738,0.5388,0.6137,2695.0,0.5236,0.6055,0.4612,2695.0,0.6126,0.6902,0.5506,2695.0,0.6793,0.634,0.7315,2380.0,0.5966,0.5869,0.6067,2695.0,0.7846,0.7638,0.8066,910.0
22,91.88,63.48,1.3455,1.6223,0.634,63.48,0.6302,0.634,0.7339,0.7701,0.7009,2695.0,0.4896,0.3735,0.7105,266.0,0.5848,0.6151,0.5573,2695.0,0.5504,0.6129,0.4994,2695.0,0.6191,0.5623,0.6887,2695.0,0.682,0.64,0.7298,2380.0,0.6061,0.6433,0.5729,2695.0,0.7755,0.7341,0.822,910.0
